GO:0000001	mitochondrion inheritance
GO:0046509	1,2-diacylglycerol 3-beta-galactosyltransferase activity
GO:0046510	UDP-sulfoquinovose:DAG sulfoquinovosyltransferase activity
GO:0046511	sphinganine biosynthetic process
GO:0046512	sphingosine biosynthetic process
GO:0046513	ceramide biosynthetic process
GO:0046514	ceramide catabolic process
GO:0046516	hypusine metabolic process
GO:0046517	octamethylcyclotetrasiloxane catabolic process
GO:0046518	octamethylcyclotetrasiloxane metabolic process
GO:0046519	sphingoid metabolic process
GO:0046520	sphingoid biosynthetic process
GO:0046521	sphingoid catabolic process
GO:0046522	S-methyl-5-thioribose kinase activity
GO:0046523	S-methyl-5-thioribose-1-phosphate isomerase activity
GO:0046524	sucrose-phosphate synthase activity
GO:0046525	xylosylprotein 4-beta-galactosyltransferase activity
GO:0046526	D-xylulose reductase activity
GO:0046530	photoreceptor cell differentiation
GO:0046532	regulation of photoreceptor cell differentiation
GO:0046533	negative regulation of photoreceptor cell differentiation
GO:0046534	positive regulation of photoreceptor cell differentiation
GO:0046535	detection of chemical stimulus involved in sensory perception of umami taste
GO:0046537	2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity
GO:0046538	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity
GO:0046539	histamine N-methyltransferase activity
GO:0046540	U4/U6 x U5 tri-snRNP complex
GO:0046541	saliva secretion
GO:0046547	trans-aconitate 3-methyltransferase activity
GO:0046550	(3-aminopropyl)(L-aspartyl-1-amino)phosphoryl-5'-adenosine biosynthetic process from asparagine
GO:0046553	D-malate dehydrogenase (decarboxylating) activity
GO:0046554	malate dehydrogenase (NADP+) activity
GO:0046556	alpha-N-arabinofuranosidase activity
GO:0046557	glucan endo-1,6-beta-glucosidase activity
GO:0046558	arabinan endo-1,5-alpha-L-arabinosidase activity
GO:0046559	alpha-glucuronidase activity
GO:0046560	scytalidopepsin B activity
GO:0046561	penicillopepsin activity
GO:0046562	glucose oxidase activity
GO:0046564	oxalate decarboxylase activity
GO:0046566	DOPA dioxygenase activity
GO:0046568	3-methylbutanal reductase activity
GO:0046569	glyoxal oxidase activity
GO:0046574	glycuronidase activity
GO:0046577	long-chain-alcohol oxidase activity
GO:0046579	positive regulation of Ras protein signal transduction
GO:0046580	negative regulation of Ras protein signal transduction
GO:0046583	cation efflux transmembrane transporter activity
GO:0046584	enniatin metabolic process
GO:0046585	enniatin biosynthetic process
GO:0046587	positive regulation of calcium-dependent cell-cell adhesion
GO:0046588	negative regulation of calcium-dependent cell-cell adhesion
GO:0046589	ribonuclease T1 activity
GO:0046592	polyamine oxidase activity
GO:0046593	mandelonitrile lyase activity
GO:0046594	maintenance of pole plasm mRNA localization
GO:0046595	establishment of pole plasm mRNA localization
GO:0046597	negative regulation of virion penetration into host cell
GO:0046598	positive regulation of virion penetration into host cell
GO:0046600	negative regulation of centriole replication
GO:0046601	positive regulation of centriole replication
GO:0046603	negative regulation of mitotic centrosome separation
GO:0046604	positive regulation of mitotic centrosome separation
GO:0046606	negative regulation of centrosome cycle
GO:0046607	positive regulation of centrosome cycle
GO:0046609	voltage-gated sulfate antiporter activity
GO:0046610	lysosomal proton-transporting V-type ATPase, V0 domain
GO:0046611	lysosomal proton-transporting V-type ATPase complex
GO:0046612	lysosomal proton-transporting V-type ATPase, V1 domain
GO:0046619	optic placode formation involved in camera-type eye
GO:0046620	regulation of organ growth
GO:0046621	negative regulation of organ growth
GO:0046622	positive regulation of organ growth
GO:0046623	sphingolipid-translocating ATPase activity
GO:0046626	regulation of insulin receptor signaling pathway
GO:0046627	negative regulation of insulin receptor signaling pathway
GO:0046628	positive regulation of insulin receptor signaling pathway
GO:0046629	gamma-delta T cell activation
GO:0046630	gamma-delta T cell proliferation
GO:0046631	alpha-beta T cell activation
GO:0046632	alpha-beta T cell differentiation
GO:0046633	alpha-beta T cell proliferation
GO:0046634	regulation of alpha-beta T cell activation
GO:0046635	positive regulation of alpha-beta T cell activation
GO:0046636	negative regulation of alpha-beta T cell activation
GO:0046637	regulation of alpha-beta T cell differentiation
GO:0046638	positive regulation of alpha-beta T cell differentiation
GO:0046639	negative regulation of alpha-beta T cell differentiation
GO:0046640	regulation of alpha-beta T cell proliferation
GO:0046641	positive regulation of alpha-beta T cell proliferation
GO:0046642	negative regulation of alpha-beta T cell proliferation
GO:0046643	regulation of gamma-delta T cell activation
GO:0046644	negative regulation of gamma-delta T cell activation
GO:0046645	positive regulation of gamma-delta T cell activation
GO:0046646	regulation of gamma-delta T cell proliferation
GO:0046647	negative regulation of gamma-delta T cell proliferation
GO:0046648	positive regulation of gamma-delta T cell proliferation
GO:0046653	tetrahydrofolate metabolic process
GO:0046654	tetrahydrofolate biosynthetic process
GO:0046655	folic acid metabolic process
GO:0046656	folic acid biosynthetic process
GO:0046657	folic acid catabolic process
GO:0046658	anchored to plasma membrane
GO:0046659	digestive hormone activity
GO:0046666	retinal cell programmed cell death
GO:0046667	compound eye retinal cell programmed cell death
GO:0046668	regulation of retinal cell programmed cell death
GO:0046669	regulation of compound eye retinal cell programmed cell death
GO:0046670	positive regulation of retinal cell programmed cell death
GO:0046671	negative regulation of retinal cell programmed cell death
GO:0046672	positive regulation of compound eye retinal cell programmed cell death
GO:0046673	negative regulation of compound eye retinal cell programmed cell death
GO:0046675	induction of compound eye retinal cell programmed cell death
GO:0046676	negative regulation of insulin secretion
GO:0046677	response to antibiotic
GO:0046678	response to bacteriocin
GO:0046679	response to streptomycin
GO:0046680	response to DDT
GO:0046681	response to carbamate
GO:0046682	response to cyclodiene
GO:0046683	response to organophosphorus
GO:0046684	response to pyrethroid
GO:0046685	response to arsenic
GO:0046686	response to cadmium ion
GO:0046687	response to chromate
GO:0046688	response to copper ion
GO:0046689	response to mercury ion
GO:0046690	response to tellurium ion
GO:0046693	sperm storage
GO:0046695	SLIK (SAGA-like) complex
GO:0046696	lipopolysaccharide receptor complex
GO:0046697	decidualization
GO:0046700	heterocycle catabolic process
GO:0046701	insecticide catabolic process
GO:0046703	natural killer cell lectin-like receptor binding
GO:0046704	CDP metabolic process
GO:0046705	CDP biosynthetic process
GO:0046706	CDP catabolic process
GO:0046707	IDP metabolic process
GO:0046708	IDP biosynthetic process
GO:0046709	IDP catabolic process
GO:0046710	GDP metabolic process
GO:0046711	GDP biosynthetic process
GO:0046712	GDP catabolic process
GO:0046715	boron transporter activity
GO:0046718	entry of virus into host cell
GO:0046719	regulation of viral protein levels in host cell
GO:0046720	citric acid secretion
GO:0046721	formic acid secretion
GO:0046722	lactic acid secretion
GO:0046723	malic acid secretion
GO:0046724	oxalic acid secretion
GO:0046725	negative regulation of viral protein levels in host cell
GO:0046726	positive regulation of viral protein levels in host cell
GO:0046727	capsomere
GO:0046730	induction of host immune response by virus
GO:0046731	passive induction of host immune response by virus
GO:0046732	active induction of host immune response by virus
GO:0046733	passive induction of humoral immune response in host by virus
GO:0046734	passive induction of cell-mediated immune response in host by virus
GO:0046735	passive induction of innate immune response in host by virus
GO:0046736	active induction of humoral immune response in host by virus
GO:0046737	active induction of cell-mediated immune response in host by virus
GO:0046738	active induction of innate immune response in host by virus
GO:0046739	spread of virus within host
GO:0046740	spread of virus within host, cell to cell
GO:0046741	spread of virus within host, tissue to tissue
GO:0046742	viral capsid transport in host cell nucleus
GO:0046743	viral capsid transport in host cell cytoplasm
GO:0046746	virus budding from nuclear membrane during viral capsid re-envelopment
GO:0046747	virus budding from Golgi membrane during viral capsid re-envelopment
GO:0046748	virus budding from ER membrane during viral capsid re-envelopment
GO:0046749	virus budding from nuclear membrane during viral capsid envelopment
GO:0046750	virus budding from Golgi membrane during viral capsid envelopment
GO:0046751	virus budding from ER membrane during viral capsid envelopment
GO:0046752	viral capsid precursor localization in host cell nucleus
GO:0046755	non-lytic virus budding
GO:0046757	lytic virus budding from ER membrane
GO:0046758	lytic virus budding from Golgi membrane
GO:0046759	lytic virus budding from plasma membrane
GO:0046760	non-lytic virus budding from Golgi membrane
GO:0046761	non-lytic virus budding from plasma membrane
GO:0046762	non-lytic virus budding from ER membrane
GO:0046763	virus budding from Golgi membrane
GO:0046764	virus budding from ER membrane
GO:0046765	virus budding from nuclear membrane
GO:0046766	virus budding from plasma membrane
GO:0046767	virus budding from plasma membrane during viral capsid envelopment
GO:0046768	virus budding from plasma membrane during viral capsid re-envelopment
GO:0046769	virus budding from inner nuclear membrane during viral capsid re-envelopment
GO:0046770	virus budding from outer nuclear membrane during viral capsid re-envelopment
GO:0046771	virus budding from inner nuclear membrane during viral capsid envelopment
GO:0046772	virus budding from outer nuclear membrane during viral capsid envelopment
GO:0046773	suppression by virus of host termination of protein biosynthetic process
GO:0046774	suppression by virus of intracellular interferon activity in host
GO:0046775	suppression by virus of host cytokine production
GO:0046776	suppression by virus of MHC class I cell surface presentation in host
GO:0046778	modification by virus of host mRNA processing
GO:0046779	suppression by virus of expression of host genes with introns
GO:0046780	suppression by virus of host mRNA splicing
GO:0046781	dispersion by virus of host splicing factors
GO:0046783	modification by virus of host polysomes
GO:0046784	intronless viral mRNA export from host nucleus
GO:0046788	egress of virus within host cell
GO:0046789	host cell surface receptor binding
GO:0046791	suppression by virus of host complement neutralization
GO:0046792	suppression by virus of host cell cycle arrest
GO:0046793	induction by virus of modification of host RNA polymerase II
GO:0046801	intracellular transport of viral capsid in host cell
GO:0046802	egress of viral procapsid from host cell nucleus
GO:0046804	peptide cross-linking via (2S,3S,4Xi,6R)-3-methyl-lanthionine sulfoxide
GO:0046805	protein-heme linkage via 1'-L-histidine
GO:0046819	protein secretion by the type V secretion system
GO:0046820	4-amino-4-deoxychorismate synthase activity
GO:0046823	negative regulation of nucleocytoplasmic transport
GO:0046824	positive regulation of nucleocytoplasmic transport
GO:0046825	regulation of protein export from nucleus
GO:0046826	negative regulation of protein export from nucleus
GO:0046827	positive regulation of protein export from nucleus
GO:0046828	regulation of RNA import into nucleus
GO:0046829	negative regulation of RNA import into nucleus
GO:0046830	positive regulation of RNA import into nucleus
GO:0046831	regulation of RNA export from nucleus
GO:0046832	negative regulation of RNA export from nucleus
GO:0046833	positive regulation of RNA export from nucleus
GO:0046841	trisporic acid metabolic process
GO:0046842	trisporic acid biosynthetic process
GO:0046845	branched duct epithelial cell fate determination, open tracheal system
GO:0046847	filopodium formation
GO:0046849	bone remodeling
GO:0046851	negative regulation of bone remodeling
GO:0046852	positive regulation of bone remodeling
GO:0046853	inositol and derivative phosphorylation
GO:0046854	phosphoinositide phosphorylation
GO:0046855	inositol phosphate dephosphorylation
GO:0046856	phosphoinositide dephosphorylation
GO:0046859	hydrogenosomal membrane
GO:0046861	glyoxysomal membrane
GO:0046863	ribulose-1,5-bisphosphate carboxylase/oxygenase activase activity
GO:0046869	iron incorporation into iron-sulfur cluster via tris-L-cysteinyl-L-aspartato diiron disulfide
GO:0046870	cadmium ion binding
GO:0046871	N-acetylgalactosamine binding
GO:0046872	metal ion binding
GO:0046873	metal ion transmembrane transporter activity
GO:0046874	quinolinate metabolic process
GO:0046875	ephrin receptor binding
GO:0046876	3,4-didehydroretinal binding
GO:0046878	positive regulation of saliva secretion
GO:0046881	positive regulation of follicle-stimulating hormone secretion
GO:0046882	negative regulation of follicle-stimulating hormone secretion
GO:0046884	follicle-stimulating hormone secretion
GO:0046885	regulation of hormone biosynthetic process
GO:0046886	positive regulation of hormone biosynthetic process
GO:0046887	positive regulation of hormone secretion
GO:0046888	negative regulation of hormone secretion
GO:0046889	positive regulation of lipid biosynthetic process
GO:0046890	regulation of lipid biosynthetic process
GO:0046892	peptidyl-S-carbamoyl-L-cysteine dehydration
GO:0046898	response to cycloheximide
GO:0046899	nucleoside triphosphate adenylate kinase activity
GO:0046900	tetrahydrofolylpolyglutamate metabolic process
GO:0046901	tetrahydrofolylpolyglutamate biosynthetic process
GO:0046902	regulation of mitochondrial membrane permeability
GO:0046906	tetrapyrrole binding
GO:0046908	negative regulation of crystal formation
GO:0046911	metal chelating activity
GO:0046917	triphosphoribosyl-dephospho-CoA synthase activity
GO:0046922	peptide-O-fucosyltransferase activity
GO:0046923	ER retention sequence binding
GO:0046929	negative regulation of neurotransmitter secretion
GO:0046930	pore complex
GO:0046931	pore complex biogenesis
GO:0046932	sodium-transporting ATP synthase activity, rotational mechanism
GO:0046933	hydrogen ion transporting ATP synthase activity, rotational mechanism
GO:0046934	phosphatidylinositol-4,5-bisphosphate 3-kinase activity
GO:0046935	1-phosphatidylinositol-3-kinase regulator activity
GO:0046936	deoxyadenosine deaminase activity
GO:0046937	phytochelatin metabolic process
GO:0046938	phytochelatin biosynthetic process
GO:0046945	N-terminal peptidyl-alanine N-carbamoylation
GO:0046946	hydroxylysine metabolic process
GO:0046947	hydroxylysine biosynthetic process
GO:0046948	hydroxylysine catabolic process
GO:0046949	acyl-CoA biosynthetic process
GO:0046950	ketone body metabolic process
GO:0046951	ketone body biosynthetic process
GO:0046952	ketone body catabolic process
GO:0046956	positive phototaxis
GO:0046957	negative phototaxis
GO:0046958	nonassociative learning
GO:0046961	hydrogen ion transporting ATPase activity, rotational mechanism
GO:0046962	sodium-transporting ATPase activity, rotational mechanism
GO:0046963	3'-phosphoadenosine 5'-phosphosulfate transport
GO:0046964	3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity
GO:0046965	retinoid X receptor binding
GO:0046966	thyroid hormone receptor binding
GO:0046967	cytosol to ER transport
GO:0046972	histone acetyltransferase activity (H4-K16 specific)
GO:0046981	beta-1,4-mannosylglycolipid beta-1,3-N-acetylglucosaminyltransferase activity
GO:0046984	regulation of hemoglobin biosynthetic process
GO:0046985	positive regulation of hemoglobin biosynthetic process
GO:0046986	negative regulation of hemoglobin biosynthetic process
GO:0046987	N-acetyllactosamine beta-1,3-glucuronosyltransferase activity
GO:0046990	N-hydroxyarylamine O-acetyltransferase activity
GO:0046991	hydroxynitrilase activity
GO:0046992	oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond
GO:0046998	(S)-usnate reductase activity
GO:0047000	2-dehydro-3-deoxy-D-gluconate 6-dehydrogenase activity
GO:0047001	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase activity
GO:0047002	L-arabinitol 2-dehydrogenase activity
GO:0047003	dTDP-6-deoxy-L-talose 4-dehydrogenase activity
GO:0047004	UDP-N-acetylglucosamine 6-dehydrogenase activity
GO:0047005	16-alpha-hydroxysteroid dehydrogenase activity
GO:0047006	20-alpha-hydroxysteroid dehydrogenase activity
GO:0047007	21-hydroxysteroid dehydrogenase (NAD+) activity
GO:0047008	21-hydroxysteroid dehydrogenase (NADP+) activity
GO:0047009	3-alpha-hydroxy-5-beta-androstane-17-one 3-alpha-dehydrogenase activity
GO:0047010	hydroxycyclohexanecarboxylate dehydrogenase activity
GO:0047011	2-dehydropantolactone reductase (A-specific) activity
GO:0047012	sterol-4-alpha-carboxylate 3-dehydrogenase (decarboxylating) activity
GO:0047013	12-alpha-hydroxysteroid dehydrogenase activity
GO:0047014	glycerol-3-phosphate 1-dehydrogenase (NADP+) activity
GO:0047015	3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity
GO:0047016	cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase activity
GO:0047017	prostaglandin-F synthase activity
GO:0047018	indole-3-acetaldehyde reductase (NADH) activity
GO:0047019	indole-3-acetaldehyde reductase (NADPH) activity
GO:0047020	15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity
GO:0047021	15-hydroxyprostaglandin dehydrogenase (NADP+) activity
GO:0047022	7-beta-hydroxysteroid dehydrogenase (NADP+) activity
GO:0047023	3(or 17)-alpha-hydroxysteroid dehydrogenase activity
GO:0047024	3-beta(or 20-alpha)-hydroxysteroid dehydrogenase activity
GO:0047025	3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity
GO:0047026	3-alpha-hydroxysteroid dehydrogenase (A-specific) activity
GO:0047027	benzyl-2-methyl-hydroxybutyrate dehydrogenase activity
GO:0047028	6-pyruvoyltetrahydropterin 2'-reductase activity
GO:0047029	(R)-4-hydroxyphenyllactate dehydrogenase activity
GO:0047030	4-hydroxycyclohexanecarboxylate dehydrogenase activity
GO:0047031	diethyl 2-methyl-3-oxosuccinate reductase activity
GO:0047032	3-alpha-hydroxyglycyrrhetinate dehydrogenase activity
GO:0047033	15-hydroxyprostaglandin-I dehydrogenase (NADP+) activity
GO:0047034	15-hydroxyicosatetraenoate dehydrogenase activity
GO:0047035	3-alpha(17-beta)-hydroxysteroid dehydrogenase (NAD+) activity
GO:0047036	codeinone reductase (NADPH) activity
GO:0047037	salutaridine reductase (NADPH) activity
GO:0047038	D-arabinitol 2-dehydrogenase activity
GO:0047039	tetrahydroxynaphthalene reductase activity
GO:0047040	pteridine reductase activity
GO:0047041	(S)-carnitine 3-dehydrogenase activity
GO:0047042	3-alpha-hydroxysteroid dehydrogenase (B-specific) activity
GO:0047043	3-alpha-hydroxycholanate dehydrogenase activity
GO:0047044	3-alpha(or 20-beta)-hydroxysteroid dehydrogenase activity
GO:0047045	testosterone 17-beta-dehydrogenase (NADP+) activity
GO:0047046	homoisocitrate dehydrogenase activity
GO:0047047	oxaloglycolate reductase (decarboxylating) activity
GO:0047048	3-hydroxybenzyl-alcohol dehydrogenase activity
GO:0047049	(R)-2-hydroxy-fatty-acid dehydrogenase activity
GO:0047050	(S)-2-hydroxy-fatty-acid dehydrogenase activity
GO:0047051	D-lactate dehydrogenase (cytochrome c-553) activity
GO:0047052	(S)-stylopine synthase activity
GO:0047053	(S)-cheilanthifoline synthase activity
GO:0047054	berbamunine synthase activity
GO:0047055	salutaridine synthase activity
GO:0047056	(S)-canadine synthase activity
GO:0047057	vitamin-K-epoxide reductase (warfarin-sensitive) activity
GO:0047058	vitamin-K-epoxide reductase (warfarin-insensitive) activity
GO:0047059	polyvinyl-alcohol dehydrogenase (acceptor) activity
GO:0047060	(R)-pantolactone dehydrogenase (flavin) activity
GO:0047061	glucose-fructose oxidoreductase activity
GO:0047062	trans-acenaphthene-1,2-diol dehydrogenase activity
GO:0047063	L-ascorbate-cytochrome-b5 reductase activity
GO:0047064	sulochrin oxidase [(+)-bisdechlorogeodin-forming] activity
GO:0047065	sulochrin oxidase [(-)-bisdechlorogeodin-forming] activity
GO:0047066	phospholipid-hydroperoxide glutathione peroxidase activity
GO:0047067	hydrogen:quinone oxidoreductase activity
GO:0047068	N5,N10-methenyltetrahydromethanopterin hydrogenase activity
GO:0047069	7,8-dihydroxykynurenate 8,8a-dioxygenase activity
GO:0047070	3-carboxyethylcatechol 2,3-dioxygenase activity
GO:0047071	3,4-dihydroxy-9,10-secoandrosta-1,3,5(10)-triene-9,17-dione 4,5-dioxygenase activity
GO:0047072	2,3-dihydroxybenzoate 2,3-dioxygenase activity
GO:0047073	2,4'-dihydroxyacetophenone dioxygenase activity
GO:0047075	2,5-dihydroxypyridine 5,6-dioxygenase activity
GO:0047077	Photinus-luciferin 4-monooxygenase (ATP-hydrolyzing) activity
GO:0047078	3-hydroxy-4-oxoquinoline 2,4-dioxygenase activity
GO:0047079	pyrimidine-deoxynucleoside 1'-dioxygenase activity
GO:0047080	pyrimidine-deoxynucleoside 2'-dioxygenase activity
GO:0047081	3-hydroxy-2-methylpyridinecarboxylate dioxygenase activity
GO:0047082	3,9-dihydroxypterocarpan 6a-monooxygenase activity
GO:0047083	5-O-(4-coumaroyl)-D-quinate 3'-monooxygenase activity
GO:0047084	methyltetrahydroprotoberberine 14-monooxygenase activity
GO:0047085	hydroxyphenylacetonitrile 2-monooxygenase activity
GO:0047086	ketosteroid monooxygenase activity
GO:0047087	protopine 6-monooxygenase activity
GO:0047088	dihydrosanguinarine 10-monooxygenase activity
GO:0047089	dihydrochelirubine 12-monooxygenase activity
GO:0047090	benzoyl-CoA 3-monooxygenase activity
GO:0047091	L-lysine 6-monooxygenase (NADPH) activity
GO:0047092	27-hydroxycholesterol 7-alpha-monooxygenase activity
GO:0047093	4-hydroxyquinoline 3-monooxygenase activity
GO:0047094	3-hydroxyphenylacetate 6-hydroxylase activity
GO:0047095	2-hydroxycyclohexanone 2-monooxygenase activity
GO:0047096	androst-4-ene-3,17-dione monooxygenase activity
GO:0047097	phylloquinone monooxygenase (2,3-epoxidizing) activity
GO:0047098	Latia-luciferin monooxygenase (demethylating) activity
GO:0047099	CDP-4-dehydro-6-deoxyglucose reductase activity
GO:0047100	glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) activity
GO:0047101	2-oxoisovalerate dehydrogenase (acylating) activity
GO:0047102	aminomuconate-semialdehyde dehydrogenase activity
GO:0047103	3-alpha,7-alpha,12-alpha-trihydroxycholestan-26-al 26-oxidoreductase activity
GO:0047104	hexadecanal dehydrogenase (acylating) activity
GO:0047105	4-trimethylammoniobutyraldehyde dehydrogenase activity
GO:0047106	4-hydroxyphenylacetaldehyde dehydrogenase activity
GO:0047107	gamma-guanidinobutyraldehyde dehydrogenase activity
GO:0047108	(R)-3-hydroxyacid-ester dehydrogenase activity
GO:0047109	(S)-3-hydroxyacid-ester dehydrogenase activity
GO:0047110	phenylglyoxylate dehydrogenase (acylating) activity
GO:0047111	formate dehydrogenase (cytochrome-c-553) activity
GO:0047112	pyruvate oxidase activity
GO:0047113	aldehyde dehydrogenase (pyrroloquinoline-quinone) activity
GO:0047114	kynurenate-7,8-dihydrodiol dehydrogenase activity
GO:0047115	trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity
GO:0047116	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase activity
GO:0047117	enoyl-[acyl-carrier-protein] reductase (NADPH, A-specific) activity
GO:0047118	2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate reductase activity
GO:0047119	2-methyl-branched-chain-enoyl-CoA reductase activity
GO:0047120	(3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase activity
GO:0047121	isoquinoline 1-oxidoreductase activity
GO:0047122	quinaldate 4-oxidoreductase activity
GO:0047123	quinoline-4-carboxylate 2-oxidoreductase activity
GO:0047124	L-erythro-3,5-diaminohexanoate dehydrogenase activity
GO:0047125	delta1-piperideine-2-carboxylate reductase activity
GO:0047126	N5-(carboxyethyl)ornithine synthase activity
GO:0047127	thiomorpholine-carboxylate dehydrogenase activity
GO:0047128	1,2-dehydroreticulinium reductase (NADPH) activity
GO:0047129	opine dehydrogenase activity
GO:0047130	saccharopine dehydrogenase (NADP+, L-lysine-forming) activity
GO:0047131	saccharopine dehydrogenase (NAD+, L-glutamate-forming) activity
GO:0047132	dihydrobenzophenanthridine oxidase activity
GO:0047133	dimethylamine dehydrogenase activity
GO:0047134	protein-disulfide reductase activity
GO:0047135	bis-gamma-glutamylcystine reductase activity
GO:0047136	4-(dimethylamino)phenylazoxybenzene reductase activity
GO:0047137	N-hydroxy-2-acetamidofluorene reductase activity
GO:0047138	aquacobalamin reductase activity
GO:0047139	glutathione-homocystine transhydrogenase activity
GO:0047140	glutathione-CoA-glutathione transhydrogenase activity
GO:0047141	glutathione-cystine transhydrogenase activity
GO:0047142	enzyme-thiol transhydrogenase (glutathione-disulfide) activity
GO:0047143	chlorate reductase activity
GO:0047144	2-acylglycerol-3-phosphate O-acyltransferase activity
GO:0047145	demethylsterigmatocystin 6-O-methyltransferase activity
GO:0047146	sterigmatocystin 7-O-methyltransferase activity
GO:0047147	trimethylsulfonium-tetrahydrofolate N-methyltransferase activity
GO:0047148	methylamine-glutamate N-methyltransferase activity
GO:0047149	thetin-homocysteine S-methyltransferase activity
GO:0047150	betaine-homocysteine S-methyltransferase activity
GO:0047151	methylenetetrahydrofolate-tRNA-(uracil-5-)-methyltransferase (FADH2-oxidizing) activity
GO:0047152	methanol-5-hydroxybenzimidazolylcobamide Co-methyltransferase activity
GO:0047153	deoxycytidylate 5-hydroxymethyltransferase activity
GO:0047154	methylmalonyl-CoA carboxytransferase activity
GO:0047155	3-hydroxymethylcephem carbamoyltransferase activity
GO:0047156	acetoin-ribose-5-phosphate transaldolase activity
GO:0047157	myelin-proteolipid O-palmitoyltransferase activity
GO:0047158	sinapoylglucose-sinapoylglucose O-sinapoyltransferase activity
GO:0047159	1-alkenylglycerophosphocholine O-acyltransferase activity
GO:0047160	alkylglycerophosphate 2-O-acetyltransferase activity
GO:0047161	tartronate O-hydroxycinnamoyltransferase activity
GO:0047162	17-O-deacetylvindoline O-acetyltransferase activity
GO:0047163	3,4-dichloroaniline N-malonyltransferase activity
GO:0047164	isoflavone-7-O-beta-glucoside 6''-O-malonyltransferase activity
GO:0047165	flavonol-3-O-beta-glucoside O-malonyltransferase activity
GO:0047166	1-alkenylglycerophosphoethanolamine O-acyltransferase activity
GO:0047167	1-alkyl-2-acetylglycerol O-acyltransferase activity
GO:0047168	isocitrate O-dihydroxycinnamoyltransferase activity
GO:0047169	galactarate O-hydroxycinnamoyltransferase activity
GO:0047170	glucarate O-hydroxycinnamoyltransferase activity
GO:0047171	glucarolactone O-hydroxycinnamoyltransferase activity
GO:0047172	shikimate O-hydroxycinnamoyltransferase activity
GO:0047173	phosphatidylcholine-retinol O-acyltransferase activity
GO:0047174	putrescine N-hydroxycinnamoyltransferase activity
GO:0047175	galactosylacylglycerol O-acyltransferase activity
GO:0047176	beta-glucogallin-tetrakisgalloylglucose O-galloyltransferase activity
GO:0047177	glycerophospholipid arachidonoyl-transferase (CoA-independent) activity
GO:0047178	glycerophospholipid acyltransferase (CoA-dependent) activity
GO:0047179	platelet-activating factor acetyltransferase activity
GO:0047180	salutaridinol 7-O-acetyltransferase activity
GO:0047181	benzophenone synthase activity
GO:0047182	alcohol O-cinnamoyltransferase activity
GO:0047183	anthocyanin 5-aromatic acyltransferase activity
GO:0047184	1-acylglycerophosphocholine O-acyltransferase activity
GO:0047185	N-acetylneuraminate 4-O-acetyltransferase activity
GO:0047186	N-acetylneuraminate 7-O(or 9-O)-acetyltransferase activity
GO:0047187	deacetyl-[citrate-(pro-3S)-lyase] S-acetyltransferase activity
GO:0047188	aromatic-hydroxylamine O-acetyltransferase activity
GO:0047189	2,3-diaminopropionate N-oxalyltransferase activity
GO:0047190	2-acylglycerophosphocholine O-acyltransferase activity
GO:0047191	1-alkylglycerophosphocholine O-acyltransferase activity
GO:0047192	1-alkylglycerophosphocholine O-acetyltransferase activity
GO:0047193	CDP-acylglycerol O-arachidonoyltransferase activity
GO:0047194	indoleacetylglucose-inositol O-acyltransferase activity
GO:0047195	diacylglycerol-sterol O-acyltransferase activity
GO:0047196	long-chain-alcohol O-fatty-acyltransferase activity
GO:0047197	triacylglycerol-sterol O-acyltransferase activity
GO:0047198	cysteine-S-conjugate N-acetyltransferase activity
GO:0047199	phosphatidylcholine-dolichol O-acyltransferase activity
GO:0047200	tetrahydrodipicolinate N-acetyltransferase activity
GO:0047201	beta-glucogallin O-galloyltransferase activity
GO:0047202	sinapoylglucose-choline O-sinapoyltransferase activity
GO:0047203	13-hydroxylupinine O-tigloyltransferase activity
GO:0047204	chlorogenate-glucarate O-hydroxycinnamoyltransferase activity
GO:0047205	quinate O-hydroxycinnamoyltransferase activity
GO:0047206	UDP-N-acetylmuramoylpentapeptide-lysine N6-alanyltransferase activity
GO:0047207	1,2-beta-fructan 1F-fructosyltransferase activity
GO:0047208	o-dihydroxycoumarin 7-O-glucosyltransferase activity
GO:0047209	coniferyl-alcohol glucosyltransferase activity
GO:0047210	alpha-1,4-glucan-protein synthase (UDP-forming) activity
GO:0047211	alpha-1,4-glucan-protein synthase (ADP-forming) activity
GO:0047212	2-coumarate O-beta-glucosyltransferase activity
GO:0047213	anthocyanidin 3-O-glucosyltransferase activity
GO:0047214	cyanidin-3-rhamnosylglucoside 5-O-glucosyltransferase activity
GO:0047215	indole-3-acetate beta-glucosyltransferase activity
